(-1.17, -11.64, 4.15) 
(-1.17, -11.64, 4.15) 
(-1.35, -11.71, 4.41) 
(-1.35, -11.71, 4.41) 
(-1.35, -11.71, 4.41) 
(-1.35, -11.71, 4.41) 
(-1.54, -11.73, 4.4) 
(-1.54, -11.73, 4.4) 
(-1.54, -11.73, 4.4) 
(-1.77, -11.64, 4.69) 
(-1.77, -11.64, 4.69) 
(-1.77, -11.64, 4.69) 
(-1.77, -11.64, 4.69) 
(-1.79, -11.65, 4.61) 
(-1.79, -11.65, 4.61) 
(-1.79, -11.65, 4.61) 
(-1.6300000000000001, -11.47, 4.34) 
(-1.6300000000000001, -11.47, 4.34) 
(-1.6300000000000001, -11.47, 4.34) 
(-1.5, -11.200000000000001, 4.14) 
(-1.5, -11.200000000000001, 4.14) 
(-1.5, -11.200000000000001, 4.14) 
(-1.33, -10.93, 3.7800000000000002) 
(-1.33, -10.93, 3.7800000000000002) 
(-1.33, -10.93, 3.7800000000000002) 
(-1.24, -10.77, 3.8000000000000003) 
(-1.24, -10.77, 3.8000000000000003) 
(-1.24, -10.77, 3.8000000000000003) 
(-1.24, -10.77, 3.8000000000000003) 
(-1.24, -10.73, 3.75) 
(-1.24, -10.73, 3.75) 
(-1.24, -10.73, 3.75) 
(-1.31, -10.540000000000001, 3.62) 
(-1.31, -10.540000000000001, 3.62) 
(-1.31, -10.540000000000001, 3.62) 
(-1.36, -10.5, 3.61) 
(-1.36, -10.5, 3.61) 
(-1.36, -10.5, 3.61) 
(-1.45, -10.43, 3.62) 
(-1.45, -10.43, 3.62) 
(-1.45, -10.43, 3.62) 
(-1.47, -10.3, 3.74) 
(-1.47, -10.3, 3.74) 
(-1.47, -10.3, 3.74) 
(-1.47, -10.3, 3.74) 
(-1.26, -10.11, 3.89) 
(-1.26, -10.11, 3.89) 
(-1.26, -10.11, 3.89) 
(-1.18, -9.89, 3.81) 
(-1.18, -9.89, 3.81) 
(-1.18, -9.89, 3.81) 
(-1.1300000000000001, -9.78, 3.61) 
(-1.1300000000000001, -9.78, 3.61) 
(-1.1300000000000001, -9.78, 3.61) 
